Id_cliente;FECHA EFECTIVA;Id_tx;DIAS COMPRA 
115;1/01/2021;8633;66
137;1/01/2021;3586;66
137;1/01/2021;5287;66
107;1/01/2021;7349;66
102;1/10/2020;4317;158
112;1/10/2020;7206;158
104;1/10/2020;6560;158
138;1/10/2020;5192;158
146;1/10/2020;4268;158
131;1/10/2020;4055;158
120;1/10/2020;3606;158
122;1/10/2020;5625;158
121;1/10/2020;9687;158
140;1/10/2020;6066;158
117;1/10/2020;9668;158
141;1/10/2020;5119;158
147;1/10/2020;6415;158
121;1/11/2020;3749;127
115;1/11/2020;5562;127
107;1/11/2020;4411;127
128;1/11/2020;7195;127
156;1/11/2020;6321;127
127;1/11/2020;5456;127
120;1/11/2020;2555;127
130;1/11/2020;7266;127
122;1/11/2020;7211;127
132;1/11/2020;3100;127
102;1/11/2020;5353;127
165;1/12/2020;3562;97
100;1/12/2020;9732;97
142;1/12/2020;3249;97
153;1/12/2020;4457;97
117;1/12/2020;2959;97
124;1/12/2020;6247;97
121;1/12/2020;7046;97
118;1/12/2020;4977;97
116;1/12/2020;5411;97
130;1/12/2020;4678;97
124;1/12/2020;2583;97
137;1/12/2020;5241;97
140;1/02/2021;5308;35
136;1/02/2021;4535;35
137;1/02/2021;5190;35
113;1/02/2021;3794;35
123;1/02/2021;3068;35
131;1/02/2021;3149;35
139;1/02/2021;3584;35
127;1/02/2021;3788;35
120;1/02/2021;8190;35
118;1/02/2021;8775;35
141;1/02/2021;7402;35
118;1/02/2021;6012;35
145;1/02/2021;7627;35
140;1/02/2021;6152;35
104;1/02/2021;9656;35
118;1/02/2021;9273;35
113;1/03/2021;9858;7
118;1/03/2021;3106;7
142;1/03/2021;4843;7
136;1/03/2021;2650;7
125;1/03/2021;4315;7
117;1/03/2021;4317;7
136;1/03/2021;7674;7
149;1/03/2021;3152;7
130;1/03/2021;5496;7
122;1/03/2021;8815;7
135;1/03/2021;3836;7
126;1/03/2021;4051;7
133;1/03/2021;7544;7
127;1/03/2021;5377;7
116;1/09/2020;5017;188
127;1/09/2020;4823;188
115;1/09/2020;9851;188
110;1/09/2020;7834;188
144;1/09/2020;4009;188
135;1/09/2020;6894;188
123;1/09/2020;4160;188
116;1/09/2020;6690;188
143;1/09/2020;6388;188
129;1/09/2020;3883;188
119;1/09/2020;2683;188
125;10/01/2021;4179;57
117;10/01/2021;4635;57
115;10/01/2021;4659;57
134;10/01/2021;5828;57
136;10/01/2021;8821;57
104;10/01/2021;6393;57
150;10/10/2020;7879;149
135;10/10/2020;3688;149
139;10/10/2020;7368;149
140;10/10/2020;7269;149
114;10/10/2020;4170;149
116;10/10/2020;6160;149
144;10/10/2020;2874;149
129;10/10/2020;4535;149
128;10/10/2020;9033;149
127;10/10/2020;7645;149
129;10/10/2020;4358;149
129;10/10/2020;4320;149
124;10/10/2020;6448;149
118;10/11/2020;5794;118
131;10/11/2020;4660;118
147;10/11/2020;7030;118
122;10/11/2020;6083;118
121;10/11/2020;6210;118
123;10/11/2020;3256;118
135;10/11/2020;6385;118
123;10/11/2020;6256;118
110;10/11/2020;6642;118
144;10/11/2020;4255;118
123;10/11/2020;7536;118
127;10/11/2020;4024;118
129;10/11/2020;5109;118
136;10/12/2020;4772;88
143;10/12/2020;5077;88
115;10/12/2020;5009;88
121;10/12/2020;7501;88
132;10/12/2020;5848;88
158;10/12/2020;3381;88
130;10/12/2020;9149;88
127;10/12/2020;6829;88
137;10/12/2020;9124;88
135;10/12/2020;3437;88
120;10/12/2020;8743;88
135;10/12/2020;6715;88
123;10/12/2020;6464;88
125;10/12/2020;7042;88
120;10/12/2020;5449;88
105;10/02/2021;4650;26
126;10/02/2021;3544;26
133;10/02/2021;3185;26
149;10/02/2021;6288;26
132;10/02/2021;7842;26
103;10/02/2021;3013;26
131;10/02/2021;4972;26
113;10/02/2021;3360;26
122;10/02/2021;4340;26
150;10/02/2021;3982;26
129;10/02/2021;7883;26
121;10/02/2021;9484;26
122;10/02/2021;5234;26
122;10/02/2021;3089;26
133;10/02/2021;8153;26
143;10/02/2021;8442;26
108;10/09/2020;5756;179
119;10/09/2020;4588;179
125;10/09/2020;3266;179
109;10/09/2020;3424;179
143;10/09/2020;6825;179
143;10/09/2020;5562;179
125;10/09/2020;4438;179
137;10/09/2020;5846;179
120;10/09/2020;5242;179
130;10/09/2020;8573;179
123;10/09/2020;6951;179
148;10/09/2020;9362;179
130;10/09/2020;8313;179
130;10/09/2020;8102;179
132;11/01/2021;6269;56
132;11/01/2021;4329;56
127;11/01/2021;5413;56
132;11/01/2021;4502;56
125;11/01/2021;2457;56
133;11/10/2020;7667;148
105;11/10/2020;4749;148
122;11/10/2020;3832;148
136;11/10/2020;4766;148
133;11/10/2020;5000;148
131;11/10/2020;3444;148
103;11/10/2020;3609;148
125;11/10/2020;3483;148
126;11/10/2020;4560;148
125;11/10/2020;2607;148
120;11/10/2020;9504;148
112;11/10/2020;4500;148
126;11/10/2020;7201;148
120;11/10/2020;6137;148
132;11/11/2020;9619;117
125;11/11/2020;3572;117
119;11/11/2020;3023;117
141;11/11/2020;4882;117
119;11/11/2020;3642;117
140;11/11/2020;5144;117
119;11/11/2020;6022;117
153;11/11/2020;9715;117
120;11/11/2020;5008;117
149;11/11/2020;9497;117
147;11/11/2020;7151;117
139;11/11/2020;5739;117
115;11/11/2020;4598;117
120;11/11/2020;6054;117
130;11/12/2020;5489;87
125;11/12/2020;5305;87
137;11/12/2020;3657;87
112;11/12/2020;8182;87
124;11/12/2020;4220;87
119;11/12/2020;8420;87
128;11/12/2020;6316;87
123;11/12/2020;7925;87
138;11/12/2020;9352;87
121;11/12/2020;8334;87
146;11/12/2020;2974;87
125;11/12/2020;6369;87
113;11/12/2020;5603;87
112;11/12/2020;4108;87
145;11/12/2020;7583;87
108;11/12/2020;4388;87
123;11/12/2020;3419;87
138;11/12/2020;8385;87
139;11/12/2020;8973;87
138;11/12/2020;7590;87
133;11/12/2020;7626;87
119;11/12/2020;7806;87
132;11/12/2020;4354;87
127;11/02/2021;4470;25
121;11/02/2021;6871;25
138;11/02/2021;4378;25
124;11/02/2021;4601;25
121;11/02/2021;4353;25
137;11/02/2021;4242;25
119;11/02/2021;8948;25
152;11/02/2021;6377;25
99;11/02/2021;4956;25
133;11/09/2020;5206;178
116;11/09/2020;4935;178
123;11/09/2020;2871;178
128;11/09/2020;2720;178
125;11/09/2020;3248;178
136;11/09/2020;6147;178
148;11/09/2020;9035;178
122;11/09/2020;9294;178
121;11/09/2020;2997;178
135;11/09/2020;5565;178
138;11/09/2020;6782;178
106;11/09/2020;5220;178
123;11/09/2020;8188;178
133;11/09/2020;3481;178
122;11/09/2020;4424;178
124;11/09/2020;8110;178
112;12/01/2021;4853;55
124;12/01/2021;5562;55
133;12/01/2021;9155;55
103;12/01/2021;8438;55
121;12/01/2021;9691;55
137;12/01/2021;4621;55
136;12/01/2021;3140;55
136;12/01/2021;2572;55
118;12/01/2021;9170;55
108;12/10/2020;9580;147
127;12/10/2020;7341;147
118;12/10/2020;9760;147
118;12/10/2020;7954;147
138;12/10/2020;6358;147
109;12/10/2020;3053;147
125;12/10/2020;7556;147
139;12/10/2020;4275;147
135;12/10/2020;9359;147
129;12/11/2020;6609;116
108;12/11/2020;8022;116
128;12/11/2020;4603;116
105;12/11/2020;5489;116
127;12/11/2020;4547;116
108;12/11/2020;2648;116
111;12/11/2020;6333;116
135;12/11/2020;7199;116
141;12/11/2020;9772;116
113;12/11/2020;6118;116
106;12/11/2020;5465;116
128;12/11/2020;5366;116
135;12/11/2020;4884;116
116;12/11/2020;9664;116
134;12/11/2020;9756;116
104;12/11/2020;3861;116
119;12/11/2020;2970;116
125;12/11/2020;9754;116
143;12/12/2020;7381;86
127;12/12/2020;9709;86
119;12/12/2020;3999;86
141;12/12/2020;6902;86
120;12/12/2020;3617;86
131;12/12/2020;2789;86
123;12/12/2020;5106;86
135;12/12/2020;3950;86
135;12/12/2020;3755;86
128;12/12/2020;6444;86
138;12/12/2020;7820;86
140;12/12/2020;5201;86
109;12/12/2020;9701;86
130;12/12/2020;5759;86
117;12/12/2020;6481;86
126;12/12/2020;4792;86
123;12/12/2020;5523;86
119;12/12/2020;8070;86
124;12/12/2020;8586;86
134;12/12/2020;8814;86
122;12/12/2020;5906;86
131;12/12/2020;4503;86
126;12/12/2020;4483;86
124;12/12/2020;8828;86
123;12/12/2020;3647;86
123;12/12/2020;5665;86
127;12/12/2020;2858;86
117;12/02/2021;3449;24
122;12/02/2021;3348;24
115;12/02/2021;7839;24
131;12/02/2021;4149;24
128;12/02/2021;4868;24
127;12/02/2021;6144;24
142;12/02/2021;8955;24
120;12/02/2021;9869;24
152;12/02/2021;9381;24
126;12/02/2021;3279;24
135;12/02/2021;9040;24
129;12/09/2020;9167;177
130;12/09/2020;7279;177
130;12/09/2020;3552;177
116;12/09/2020;4692;177
128;12/09/2020;9672;177
137;12/09/2020;3735;177
125;12/09/2020;5124;177
133;12/09/2020;6595;177
126;12/09/2020;8435;177
120;12/09/2020;8417;177
122;13/01/2021;4832;54
125;13/01/2021;3292;54
125;13/01/2021;3958;54
141;13/01/2021;9777;54
129;13/01/2021;5974;54
117;13/01/2021;6141;54
135;13/01/2021;5087;54
128;13/01/2021;4430;54
121;13/01/2021;7440;54
128;13/01/2021;7420;54
138;13/10/2020;4342;146
126;13/10/2020;7118;146
122;13/10/2020;3096;146
102;13/10/2020;3348;146
118;13/10/2020;5282;146
120;13/10/2020;4484;146
117;13/10/2020;3822;146
144;13/10/2020;6254;146
110;13/10/2020;8918;146
149;13/10/2020;3013;146
120;13/10/2020;9665;146
117;13/10/2020;2480;146
137;13/10/2020;6495;146
110;13/10/2020;8584;146
122;13/10/2020;5227;146
121;13/11/2020;6287;115
127;13/11/2020;5782;115
128;13/11/2020;6351;115
131;13/11/2020;4396;115
129;13/11/2020;8628;115
136;13/11/2020;9765;115
123;13/11/2020;2667;115
110;13/11/2020;8331;115
131;13/11/2020;8293;115
133;13/11/2020;4742;115
124;13/11/2020;3275;115
137;13/11/2020;3372;115
129;13/12/2020;7555;85
112;13/12/2020;3223;85
136;13/12/2020;7036;85
127;13/12/2020;9780;85
125;13/12/2020;8148;85
129;13/12/2020;8056;85
142;13/12/2020;7129;85
137;13/12/2020;8072;85
124;13/12/2020;4968;85
145;13/12/2020;9406;85
125;13/12/2020;9035;85
113;13/12/2020;4491;85
110;13/12/2020;6266;85
102;13/12/2020;5301;85
131;13/12/2020;8848;85
125;13/12/2020;9426;85
121;13/12/2020;7926;85
140;13/12/2020;3157;85
136;13/12/2020;6674;85
122;13/12/2020;8324;85
147;13/12/2020;7888;85
144;13/02/2021;9030;23
116;13/02/2021;9090;23
94;13/02/2021;3772;23
128;13/02/2021;2972;23
151;13/02/2021;9519;23
97;13/02/2021;3961;23
134;13/02/2021;7120;23
123;13/02/2021;5451;23
123;13/02/2021;7355;23
135;13/02/2021;5246;23
123;13/02/2021;6688;23
117;13/02/2021;4854;23
116;13/02/2021;4335;23
139;13/09/2020;3403;176
130;13/09/2020;5994;176
124;13/09/2020;4163;176
136;13/09/2020;5134;176
114;13/09/2020;6345;176
117;13/09/2020;3821;176
132;13/09/2020;5071;176
125;13/09/2020;3087;176
131;13/09/2020;5380;176
143;13/09/2020;3880;176
147;14/01/2021;4068;53
124;14/01/2021;3448;53
117;14/01/2021;3037;53
115;14/01/2021;6160;53
137;14/01/2021;2559;53
127;14/01/2021;9769;53
140;14/01/2021;7184;53
118;14/01/2021;4718;53
128;14/01/2021;3716;53
138;14/10/2020;3059;145
140;14/10/2020;2667;145
124;14/10/2020;8654;145
123;14/10/2020;9615;145
119;14/10/2020;6369;145
114;14/10/2020;7722;145
136;14/10/2020;6074;145
143;14/10/2020;9099;145
121;14/10/2020;2908;145
125;14/10/2020;5422;145
141;14/10/2020;3141;145
116;14/10/2020;9588;145
132;14/10/2020;4653;145
110;14/10/2020;8274;145
123;14/10/2020;8171;145
135;14/11/2020;7328;114
132;14/11/2020;6071;114
127;14/11/2020;9002;114
133;14/11/2020;4592;114
120;14/11/2020;4682;114
125;14/11/2020;8632;114
122;14/11/2020;3363;114
128;14/11/2020;6276;114
107;14/11/2020;7346;114
134;14/11/2020;5028;114
138;14/11/2020;7884;114
127;14/11/2020;3670;114
115;14/11/2020;2941;114
131;14/11/2020;3608;114
127;14/11/2020;6132;114
135;14/12/2020;7868;84
125;14/12/2020;5787;84
130;14/12/2020;3330;84
105;14/12/2020;3484;84
135;14/12/2020;4501;84
113;14/12/2020;4229;84
137;14/12/2020;7336;84
97;14/12/2020;4383;84
106;14/12/2020;9311;84
142;14/12/2020;4932;84
142;14/12/2020;9700;84
129;14/12/2020;6687;84
124;14/12/2020;4002;84
162;14/12/2020;9767;84
114;14/12/2020;8649;84
112;14/12/2020;3496;84
134;14/12/2020;8866;84
113;14/02/2021;2506;22
123;14/02/2021;6755;22
132;14/02/2021;5246;22
131;14/02/2021;7761;22
119;14/02/2021;8468;22
140;14/02/2021;4460;22
127;14/09/2020;2688;175
112;14/09/2020;4647;175
129;14/09/2020;7909;175
110;14/09/2020;7144;175
132;14/09/2020;6526;175
122;14/09/2020;2898;175
118;14/09/2020;8658;175
127;14/09/2020;4913;175
126;14/09/2020;6389;175
130;14/09/2020;8799;175
137;14/09/2020;9285;175
123;15/01/2021;6321;52
147;15/01/2021;7036;52
124;15/01/2021;5669;52
130;15/01/2021;5928;52
112;15/01/2021;8376;52
130;15/01/2021;6858;52
128;15/01/2021;8578;52
138;15/01/2021;8754;52
119;15/01/2021;6235;52
122;15/01/2021;8469;52
95;15/01/2021;9519;52
102;15/01/2021;4626;52
131;15/01/2021;7212;52
108;15/01/2021;5734;52
120;15/01/2021;2934;52
118;15/01/2021;6005;52
134;15/01/2021;8923;52
135;15/10/2020;6166;144
132;15/10/2020;9007;144
130;15/10/2020;4513;144
128;15/10/2020;7991;144
130;15/10/2020;5669;144
135;15/10/2020;6214;144
121;15/10/2020;3156;144
122;15/10/2020;7828;144
130;15/10/2020;4867;144
129;15/10/2020;7593;144
111;15/10/2020;5805;144
120;15/10/2020;8366;144
118;15/10/2020;9727;144
116;15/10/2020;6847;144
140;15/10/2020;3546;144
139;15/10/2020;4598;144
139;15/11/2020;6972;113
137;15/11/2020;2510;113
131;15/11/2020;5547;113
130;15/11/2020;4149;113
