Id_cliente;FECHA EFECTIVA;Id_tx;DIAS COMPRA ;codigo unico
133;8/10/2020;9876;151;1000
120;12/02/2021;9869;24;1001
128;22/09/2020;9869;167;1002
123;30/01/2021;9867;37;1003
121;5/10/2020;9866;154;1004
128;17/02/2021;9862;19;1005
119;17/09/2020;9861;172;1006
123;3/02/2021;9861;33;1007
138;24/12/2020;9860;74;1008
113;1/03/2021;9858;7;1009
125;18/01/2021;9855;49;1010
124;22/09/2020;9853;167;1011
115;1/09/2020;9851;188;1012
135;17/02/2021;9850;19;1013
105;25/11/2020;9850;103;1014
106;22/01/2021;9849;45;1015
134;18/12/2020;9847;80;1016
112;25/10/2020;9842;134;1017
107;30/01/2021;9841;37;1018
111;31/01/2021;9834;36;1019
134;20/01/2021;9827;47;1020
131;18/11/2020;9807;110;1021
115;7/01/2021;9803;60;1022
138;20/11/2020;9797;108;1023
102;22/12/2020;9792;76;1024
118;8/11/2020;9791;120;1025
154;22/11/2020;9787;106;1026
114;16/10/2020;9786;143;1027
137;27/12/2020;9784;71;1028
99;23/01/2021;9782;44;1029
127;13/12/2020;9780;85;1030
141;13/01/2021;9777;54;1031
141;12/11/2020;9772;116;1032
127;14/01/2021;9769;53;1033
162;14/12/2020;9767;84;1034
136;13/11/2020;9765;115;1035
131;6/10/2020;9765;153;1036
130;4/12/2020;9764;94;1037
134;21/11/2020;9761;107;1038
118;12/10/2020;9760;147;1039
155;22/11/2020;9760;106;1040
136;2/02/2021;9758;34;1041
134;12/11/2020;9756;116;1042
125;12/11/2020;9754;116;1043
124;17/10/2020;9752;142;1044
139;17/11/2020;9749;111;1045
130;16/12/2020;9746;82;1046
140;26/09/2020;9743;163;1047
116;31/10/2020;9738;128;1048
126;20/09/2020;9737;169;1049
135;8/10/2020;9737;151;1050
125;3/03/2021;9734;5;1051
100;1/12/2020;9732;97;1052
119;25/02/2021;9731;11;1053
143;2/02/2021;9729;34;1054
131;25/12/2020;9729;73;1055
137;28/11/2020;9729;100;1056
118;15/10/2020;9727;144;1057
122;18/12/2020;9724;80;1058
136;9/11/2020;9723;119;1059
125;2/03/2021;9717;6;1060
110;23/11/2020;9717;105;1061
153;11/11/2020;9715;117;1062
140;27/02/2021;9713;9;1063
125;18/11/2020;9712;110;1064
127;12/12/2020;9709;86;1065
109;12/12/2020;9701;86;1066
142;14/12/2020;9700;84;1067
118;8/01/2021;9698;59;1068
135;18/12/2020;9696;80;1069
132;21/12/2020;9693;77;1070
121;12/01/2021;9691;55;1071
108;2/10/2020;9690;157;1072
121;1/10/2020;9687;158;1073
117;17/02/2021;9685;19;1074
119;21/11/2020;9682;107;1075
139;29/12/2020;9675;69;1076
128;12/09/2020;9672;177;1077
117;1/10/2020;9668;158;1078
138;23/10/2020;9667;136;1079
120;13/10/2020;9665;146;1080
116;12/11/2020;9664;116;1081
125;16/11/2020;9663;112;1082
134;20/01/2021;9657;47;1083
104;1/02/2021;9656;35;1084
131;18/09/2020;9655;171;1085
127;26/10/2020;9655;133;1086
142;19/01/2021;9652;48;1087
123;9/12/2020;9647;89;1088
115;3/12/2020;9643;95;1089
144;19/01/2021;9642;48;1090
132;17/01/2021;9640;50;1091
147;27/11/2020;9639;101;1092
134;18/09/2020;9637;171;1093
131;5/12/2020;9637;93;1094
128;7/03/2021;9634;1;1095
119;21/12/2020;9630;77;1096
114;16/09/2020;9628;173;1097
130;19/10/2020;9624;140;1098
125;19/02/2021;9620;17;1099
132;11/11/2020;9619;117;1100
138;8/11/2020;9618;120;1101
125;28/01/2021;9617;39;1102
132;21/11/2020;9616;107;1103
123;14/10/2020;9615;145;1104
128;5/02/2021;9611;31;1105
126;22/01/2021;9606;45;1106
143;17/09/2020;9605;172;1107
113;16/09/2020;9603;173;1108
132;17/02/2021;9602;19;1109
128;18/02/2021;9596;18;1110
121;19/02/2021;9594;17;1111
131;25/02/2021;9592;11;1112
116;14/10/2020;9588;145;1113
97;19/12/2020;9582;79;1114
115;8/09/2020;9582;181;1115
108;12/10/2020;9580;147;1116
115;20/12/2020;9577;78;1117
129;25/02/2021;9576;11;1118
126;17/01/2021;9571;50;1119
120;7/12/2020;9571;91;1120
139;25/01/2021;9567;42;1121
144;24/10/2020;9562;135;1122
116;24/11/2020;9558;104;1123
125;18/09/2020;9554;171;1124
126;25/10/2020;9551;134;1125
122;28/11/2020;9546;100;1126
129;30/11/2020;9546;98;1127
139;23/09/2020;9545;166;1128
125;24/12/2020;9543;74;1129
128;5/10/2020;9542;154;1130
121;2/03/2021;9539;6;1131
133;8/10/2020;9535;151;1132
125;17/02/2021;9528;19;1133
151;13/02/2021;9519;23;1134
95;15/01/2021;9519;52;1135
130;20/02/2021;9510;16;1136
123;21/10/2020;9506;138;1137
120;11/10/2020;9504;148;1138
119;27/11/2020;9502;101;1139
116;2/12/2020;9501;96;1140
113;9/11/2020;9498;119;1141
149;11/11/2020;9497;117;1142
131;2/03/2021;9485;6;1143
121;10/02/2021;9484;26;1144
141;7/12/2020;9482;91;1145
117;29/09/2020;9480;160;1146
113;15/12/2020;9478;83;1147
148;22/10/2020;9478;137;1148
112;24/12/2020;9478;74;1149
114;30/11/2020;9476;98;1150
133;28/01/2021;9474;39;1151
122;7/01/2021;9471;60;1152
121;20/02/2021;9469;16;1153
109;28/10/2020;9469;131;1154
130;5/12/2020;9469;93;1155
129;28/09/2020;9467;161;1156
112;3/03/2021;9465;5;1157
118;31/12/2020;9465;67;1158
118;7/02/2021;9462;29;1159
122;28/10/2020;9461;131;1160
120;25/02/2021;9458;11;1161
125;2/11/2020;9456;126;1162
131;25/02/2021;9455;11;1163
114;4/01/2021;9453;63;1164
136;27/09/2020;9452;162;1165
131;5/10/2020;9451;154;1166
141;16/02/2021;9447;20;1167
123;7/10/2020;9446;152;1168
130;3/12/2020;9435;95;1169
138;23/12/2020;9434;75;1170
115;26/12/2020;9434;72;1171
126;25/09/2020;9433;164;1172
133;19/09/2020;9431;170;1173
128;19/01/2021;9428;48;1174
125;13/12/2020;9426;85;1175
125;2/10/2020;9425;157;1176
108;16/11/2020;9424;112;1177
124;26/11/2020;9407;102;1178
145;13/12/2020;9406;85;1179
119;5/12/2020;9403;93;1180
124;16/12/2020;9400;82;1181
147;29/10/2020;9396;130;1182
108;7/12/2020;9394;91;1183
128;27/10/2020;9390;132;1184
125;2/09/2020;9388;187;1185
130;16/10/2020;9384;143;1186
152;12/02/2021;9381;24;1187
131;30/12/2020;9368;68;1188
120;27/12/2020;9367;71;1189
126;21/11/2020;9366;107;1190
143;24/09/2020;9363;165;1191
141;28/01/2021;9363;39;1192
148;10/09/2020;9362;179;1193
136;20/10/2020;9360;139;1194
133;6/10/2020;9360;153;1195
135;12/10/2020;9359;147;1196
126;18/10/2020;9359;141;1197
132;5/01/2021;9356;62;1198
138;11/12/2020;9352;87;1199
117;29/09/2020;9351;160;1200
145;30/09/2020;9347;159;1201
121;27/09/2020;9344;162;1202
131;4/09/2020;9334;185;1203
117;21/12/2020;9333;77;1204
137;5/12/2020;9333;93;1205
158;8/09/2020;9331;181;1206
130;27/10/2020;9327;132;1207
111;4/10/2020;9325;155;1208
118;5/12/2020;9321;93;1209
134;6/01/2021;9321;61;1210
119;26/02/2021;9320;10;1211
120;18/11/2020;9318;110;1212
139;27/12/2020;9315;71;1213
116;20/11/2020;9313;108;1214
129;31/01/2021;9313;36;1215
100;16/02/2021;9312;20;1216
106;14/12/2020;9311;84;1217
135;27/11/2020;9302;101;1218
129;25/11/2020;9296;103;1219
135;8/12/2020;9295;90;1220
122;11/09/2020;9294;178;1221
119;30/11/2020;9294;98;1222
110;2/12/2020;9286;96;1223
137;6/12/2020;9286;92;1224
137;14/09/2020;9285;175;1225
134;31/12/2020;9285;67;1226
123;30/09/2020;9284;159;1227
118;1/02/2021;9273;35;1228
128;27/02/2021;9265;9;1229
130;5/03/2021;9264;3;1230
137;27/10/2020;9259;132;1231
105;26/11/2020;9256;102;1232
135;2/10/2020;9255;157;1233
145;28/12/2020;9252;70;1234
132;9/11/2020;9248;119;1235
118;9/12/2020;9237;89;1236
130;26/12/2020;9236;72;1237
130;20/11/2020;9235;108;1238
141;28/09/2020;9232;161;1239
116;5/11/2020;9230;123;1240
126;23/01/2021;9229;44;1241
130;2/03/2021;9227;6;1242
137;2/03/2021;9226;6;1243
125;7/09/2020;9226;182;1244
124;20/02/2021;9221;16;1245
111;16/11/2020;9217;112;1246
124;9/10/2020;9213;150;1247
115;21/10/2020;9212;138;1248
111;28/09/2020;9208;161;1249
133;29/10/2020;9208;130;1250
137;4/09/2020;9199;185;1251
142;8/11/2020;9188;120;1252
134;4/11/2020;9187;124;1253
118;23/12/2020;9186;75;1254
136;31/10/2020;9178;128;1255
118;12/01/2021;9170;55;1256
137;21/12/2020;9168;77;1257
129;12/09/2020;9167;177;1258
133;15/02/2021;9163;21;1259
119;17/10/2020;9163;142;1260
114;20/02/2021;9162;16;1261
127;17/09/2020;9160;172;1262
126;23/10/2020;9156;136;1263
133;12/01/2021;9155;55;1264
110;28/12/2020;9152;70;1265
124;5/01/2021;9150;62;1266
130;10/12/2020;9149;88;1267
122;9/10/2020;9139;150;1268
108;22/01/2021;9136;45;1269
154;27/12/2020;9136;71;1270
104;5/10/2020;9134;154;1271
137;10/12/2020;9124;88;1272
106;25/02/2021;9124;11;1273
96;27/11/2020;9124;101;1274
115;27/11/2020;9119;101;1275
121;6/01/2021;9111;61;1276
110;6/09/2020;9110;183;1277
108;21/11/2020;9104;107;1278
131;21/10/2020;9100;138;1279
143;14/10/2020;9099;145;1280
139;29/11/2020;9098;99;1281
110;3/11/2020;9093;125;1282
116;13/02/2021;9090;23;1283
133;6/10/2020;9088;153;1284
120;31/12/2020;9086;67;1285
120;23/12/2020;9081;75;1286
129;26/02/2021;9075;10;1287
130;6/09/2020;9072;183;1288
153;21/10/2020;9066;138;1289
127;24/02/2021;9062;12;1290
126;2/12/2020;9053;96;1291
143;4/01/2021;9045;63;1292
137;25/10/2020;9043;134;1293
126;4/12/2020;9042;94;1294
136;8/02/2021;9041;28;1295
135;12/02/2021;9040;24;1296
115;27/02/2021;9036;9;1297
148;11/09/2020;9035;178;1298
125;13/12/2020;9035;85;1299
128;10/10/2020;9033;149;1300
108;3/11/2020;9031;125;1301
144;13/02/2021;9030;23;1302
118;8/02/2021;9022;28;1303
117;20/02/2021;9018;16;1304
122;18/11/2020;9014;110;1305
138;2/12/2020;9013;96;1306
131;23/11/2020;9013;105;1307
132;15/10/2020;9007;144;1308
139;15/12/2020;9005;83;1309
134;25/09/2020;9003;164;1310
127;14/11/2020;9002;114;1311
133;30/11/2020;8996;98;1312
123;22/01/2021;8995;45;1313
146;28/11/2020;8994;100;1314
112;17/12/2020;8990;81;1315
117;19/11/2020;8989;109;1316
114;26/11/2020;8987;102;1317
134;5/02/2021;8974;31;1318
139;11/12/2020;8973;87;1319
139;29/10/2020;8961;130;1320
142;12/02/2021;8955;24;1321
140;25/01/2021;8955;42;1322
126;22/11/2020;8954;106;1323
133;19/09/2020;8953;170;1324
123;24/01/2021;8951;43;1325
119;11/02/2021;8948;25;1326
116;18/11/2020;8947;110;1327
143;25/12/2020;8947;73;1328
109;23/10/2020;8939;136;1329
129;15/11/2020;8930;113;1330
143;15/12/2020;8930;83;1331
118;22/12/2020;8928;76;1332
125;4/11/2020;8928;124;1333
140;18/10/2020;8926;141;1334
131;2/11/2020;8924;126;1335
134;15/01/2021;8923;52;1336
143;3/10/2020;8923;156;1337
136;7/09/2020;8922;182;1338
110;13/10/2020;8918;146;1339
131;27/01/2021;8918;40;1340
127;8/10/2020;8913;151;1341
122;27/01/2021;8908;40;1342
114;24/02/2021;8902;12;1343
116;24/12/2020;8900;74;1344
125;29/01/2021;8886;38;1345
111;28/02/2021;8885;8;1346
109;5/02/2021;8882;31;1347
128;2/09/2020;8880;187;1348
122;18/02/2021;8878;18;1349
145;2/09/2020;8878;187;1350
125;5/01/2021;8878;62;1351
137;18/10/2020;8875;141;1352
128;23/01/2021;8871;44;1353
121;16/09/2020;8870;173;1354
134;14/12/2020;8866;84;1355
138;3/10/2020;8860;156;1356
118;15/02/2021;8859;21;1357
120;29/09/2020;8859;160;1358
117;4/10/2020;8852;155;1359
131;13/12/2020;8848;85;1360
119;25/12/2020;8847;73;1361
111;9/12/2020;8838;89;1362
140;24/09/2020;8833;165;1363
125;30/10/2020;8832;129;1364
125;27/02/2021;8831;9;1365
124;12/12/2020;8828;86;1366
136;10/01/2021;8821;57;1367
120;28/12/2020;8821;70;1368
132;7/02/2021;8818;29;1369
122;1/03/2021;8815;7;1370
134;12/12/2020;8814;86;1371
140;23/11/2020;8813;105;1372
106;23/12/2020;8809;75;1373
133;8/01/2021;8807;59;1374
133;28/01/2021;8806;39;1375
156;3/12/2020;8806;95;1376
129;4/02/2021;8802;32;1377
108;17/09/2020;8801;172;1378
140;18/09/2020;8800;171;1379
130;14/09/2020;8799;175;1380
142;28/12/2020;8797;70;1381
113;18/12/2020;8794;80;1382
126;22/02/2021;8792;14;1383
129;23/10/2020;8792;136;1384
120;15/12/2020;8788;83;1385
135;25/02/2021;8781;11;1386
118;1/02/2021;8775;35;1387
110;20/12/2020;8774;78;1388
130;21/11/2020;8770;107;1389
142;24/12/2020;8759;74;1390
138;15/01/2021;8754;52;1391
102;23/12/2020;8754;75;1392
114;23/09/2020;8753;166;1393
136;30/12/2020;8752;68;1394
104;19/12/2020;8751;79;1395
120;10/12/2020;8743;88;1396
120;5/09/2020;8743;184;1397
129;30/12/2020;8742;68;1398
125;2/02/2021;8735;34;1399
116;15/12/2020;8733;83;1400
138;6/03/2021;8718;2;1401
123;6/02/2021;8712;30;1402
121;17/10/2020;8711;142;1403
122;30/11/2020;8709;98;1404
129;27/11/2020;8708;101;1405
129;30/09/2020;8705;159;1406
91;9/02/2021;8693;27;1407
129;19/01/2021;8692;48;1408
128;25/10/2020;8680;134;1409
113;27/09/2020;8679;162;1410
117;15/02/2021;8678;21;1411
154;3/12/2020;8678;95;1412
142;17/12/2020;8677;81;1413
133;27/02/2021;8677;9;1414
134;2/09/2020;8674;187;1415
118;6/12/2020;8672;92;1416
124;18/10/2020;8671;141;1417
146;30/10/2020;8667;129;1418
136;3/09/2020;8664;186;1419
120;4/01/2021;8663;63;1420
138;4/11/2020;8663;124;1421
118;14/09/2020;8658;175;1422
132;27/11/2020;8656;101;1423
128;24/02/2021;8655;12;1424
137;4/02/2021;8655;32;1425
124;14/10/2020;8654;145;1426
135;29/01/2021;8654;38;1427
114;14/12/2020;8649;84;1428
113;15/02/2021;8641;21;1429
136;18/09/2020;8635;171;1430
120;3/09/2020;8635;186;1431
115;1/01/2021;8633;66;1432
103;22/02/2021;8633;14;1433
125;14/11/2020;8632;114;1434
108;24/01/2021;8632;43;1435
129;13/11/2020;8628;115;1436
131;23/01/2021;8628;44;1437
135;25/12/2020;8626;73;1438
119;9/11/2020;8616;119;1439
125;5/09/2020;8613;184;1440
139;30/10/2020;8609;129;1441
117;31/10/2020;8604;128;1442
118;27/02/2021;8603;9;1443
125;31/01/2021;8603;36;1444
132;4/11/2020;8603;124;1445
129;20/01/2021;8600;47;1446
115;23/12/2020;8597;75;1447
119;26/02/2021;8590;10;1448
124;12/12/2020;8586;86;1449
110;13/10/2020;8584;146;1450
127;3/10/2020;8580;156;1451
112;29/12/2020;8579;69;1452
128;15/01/2021;8578;52;1453
131;17/02/2021;8578;19;1454
130;10/09/2020;8573;179;1455
141;4/03/2021;8570;4;1456
135;8/01/2021;8570;59;1457
140;17/02/2021;8566;19;1458
127;20/10/2020;8556;139;1459
126;30/09/2020;8553;159;1460
129;7/09/2020;8550;182;1461
128;21/11/2020;8542;107;1462
111;28/12/2020;8542;70;1463
123;29/09/2020;8542;160;1464
120;30/09/2020;8535;159;1465
106;19/12/2020;8534;79;1466
113;18/01/2021;8524;49;1467
151;27/10/2020;8523;132;1468
122;25/10/2020;8521;134;1469
141;31/12/2020;8519;67;1470
131;31/12/2020;8517;67;1471
140;17/12/2020;8507;81;1472
107;5/01/2021;8501;62;1473
123;18/10/2020;8498;141;1474
132;30/10/2020;8494;129;1475
105;18/12/2020;8487;80;1476
144;31/01/2021;8487;36;1477
134;6/11/2020;8483;122;1478
108;2/03/2021;8476;6;1479
139;29/01/2021;8476;38;1480
