Id_tx;clase; valor 
6869;COMPRA; $ 3.495.240 
4355;COMPRA; $ 475.800 
5416;COMPRA; $ 115.775 
3249;COMPRA; $ 1.579.898 
2774;COMPRA; $ 84.077 
3469;AVANCE; $ 800.000 
8161;AVANCE; $ 350.000 
4317;COMPRA; $ 25.000 
7667;AVANCE; $ 800.000 
9637;COMPRA; $ 691 
4966;COMPRA; $ 50.000 
4581;COMPRA; $ 1.199.250 
5013;AVANCE; $ 330.000 
4476;COMPRA; $ 54.301 
4016;AVANCE; $ 800.000 
9264;AVANCE; $ 10.000 
7328;COMPRA; $ 80.350 
8476;COMPRA; $ 21.260 
3175;COMPRA; $ 84.290 
5777;AVANCE; $ 700.000 
6918;COMPRA; $ 1.023.544 
7905;COMPRA; $ 1.949.900 
6806;COMPRA; $ 765.411 
9227;AVANCE; $ 500.000 
6548;COMPRA; $ 19.540 
2970;COMPRA; $ 70.700 
7358;COMPRA; $ 16.100 
4342;AVANCE; $ 100.000 
4749;COMPRA; $ 54.200 
3059;AVANCE; $ 150.000 
4733;COMPRA; $ 67.177 
5125;AVANCE; $ 80.000 
6965;COMPRA; $ 171.800 
4772;COMPRA; $ 79.890 
9030;COMPRA; $ 114.800 
9110;COMPRA; $ 32.900 
8039;COMPRA; $ 14.900 
5489;AVANCE; $ 50.000 
6441;COMPRA; $ 69.900 
4511;COMPRA; $ 414.000 
6166;COMPRA; $ 158.850 
8705;COMPRA; $ 271.200 
7381;AVANCE; $ 800.000 
8475;COMPRA; $ 3.081.900 
8137;COMPRA; $ 8.700 
9709;COMPRA; $ 57.800 
7213;COMPRA; $ 118.782 
3946;AVANCE; $ 300.000 
7385;COMPRA; $ 2.599.900 
3713;COMPRA; $ 108.979 
6058;COMPRA; $ 233.904 
9542;COMPRA; $ 81.058 
6657;COMPRA; $ 84.995 
8832;COMPRA; $ 5.600 
7555;COMPRA; $ 67.950 
9478;AVANCE; $ 100.000 
9451;COMPRA; $ 504.218 
5308;COMPRA; $ 188.854 
9758;AVANCE; $ 400.000 
5021;COMPRA; $ 138.300 
5305;AVANCE; $ 500.000 
2491;COMPRA; $ 28.757 
5787;COMPRA; $ 207.469 
3657;AVANCE; $ 200.000 
3836;COMPRA; $ 18.800 
6526;AVANCE; $ 800.000 
6207;COMPRA; $ 104.663 
7748;COMPRA; $ 185.590 
9696;COMPRA; $ 99.000 
7879;COMPRA; $ 1.049.792 
5938;COMPRA; $ 366.473 
3832;AVANCE; $ 110.000 
4766;COMPRA; $ 31.622 
4148;COMPRA; $ 325.133 
3512;COMPRA; $ 127.402 
3579;COMPRA; $ 153.826 
6862;AVANCE; $ 20.000 
3403;COMPRA; $ 39.900 
7118;COMPRA; $ 229.900 
7024;COMPRA; $ 517.926 
7920;COMPRA; $ 400.000 
7871;COMPRA; $ 99.678 
3096;COMPRA; $ 70.779 
9007;AVANCE; $ 150.000 
5603;AVANCE; $ 150.000 
8802;AVANCE; $ 41.000 
7061;AVANCE; $ 300.000 
8667;COMPRA; $ 125.470 
9628;COMPRA; $ 640.776 
7658;AVANCE; $ 600.000 
4957;AVANCE; $ 150.000 
5434;COMPRA; $ 30.820 
5756;AVANCE; $ 497.000 
7065;COMPRA; $ 1.640.000 
8807;COMPRA; $ 507.170 
7317;AVANCE; $ 800.000 
9333;AVANCE; $ 800.000 
8711;COMPRA; $ 50.000 
9643;AVANCE; $ 430.000 
5938;COMPRA; $ 106.194 
6456;COMPRA; $ 126.060 
2979;COMPRA; $ 108.670 
4508;COMPRA; $ 50.000 
7413;COMPRA; $ 8.500 
4588;AVANCE; $ 600.000 
5017;COMPRA; $ 99.218 
3223;COMPRA; $ 138.403 
9611;COMPRA; $ 2.149.853 
5247;AVANCE; $ 400.000 
3693;AVANCE; $ 300.000 
6736;COMPRA; $ 108.000 
6956;COMPRA; $ 1.430.947 
4439;COMPRA; $ 399.306 
8566;COMPRA; $ 30.000 
3588;AVANCE; $ 200.000 
4783;COMPRA; $ 392.820 
5206;COMPRA; $ 135.240 
5162;AVANCE; $ 800.000 
5684;COMPRA; $ 150.449 
6207;COMPRA; $ 73.000 
9478;AVANCE; $ 450.000 
3888;COMPRA; $ 69.900 
8144;COMPRA; $ 351.135 
4170;COMPRA; $ 38.275 
3999;COMPRA; $ 2.135.500 
7026;COMPRA; $ 16.600 
5543;COMPRA; $ 20.000 
8182;COMPRA; $ 565.100 
9321;COMPRA; $ 189.096 
4685;COMPRA; $ 29.100 
6484;COMPRA; $ 451.818 
2749;COMPRA; $ 30.000 
3365;COMPRA; $ 34.789 
3002;AVANCE; $ 800.000 
5814;AVANCE; $ 800.000 
9729;AVANCE; $ 800.000 
6609;COMPRA; $ 6.500 
7382;COMPRA; $ 151.184 
8870;COMPRA; $ 175.900 
4513;AVANCE; $ 300.000 
9685;COMPRA; $ 2.376.299 
4733;AVANCE; $ 800.000 
4741;AVANCE; $ 100.000 
7218;AVANCE; $ 800.000 
7036;COMPRA; $ 240.000 
7834;COMPRA; $ 281.928 
6836;COMPRA; $ 18.550 
4243;COMPRA; $ 3.028.000 
8603;COMPRA; $ 163.944 
2755;COMPRA; $ 1.285.194 
6269;COMPRA; $ 167.309 
4853;AVANCE; $ 700.000 
3514;AVANCE; $ 100.000 
5273;AVANCE; $ 150.000 
8886;COMPRA; $ 108.011 
3376;COMPRA; $ 331.967 
3207;COMPRA; $ 24.900 
6867;COMPRA; $ 97.810 
8292;AVANCE; $ 300.000 
5278;COMPRA; $ 113.935 
6886;COMPRA; $ 282.506 
9403;AVANCE; $ 70.000 
3562;COMPRA; $ 80.000 
7206;COMPRA; $ 12.423 
9619;COMPRA; $ 214.638 
8022;COMPRA; $ 101.015 
4162;AVANCE; $ 200.000 
7189;AVANCE; $ 800.000 
3941;COMPRA; $ 23.400 
7117;COMPRA; $ 11.900 
6688;AVANCE; $ 800.000 
5136;COMPRA; $ 108.940 
9729;COMPRA; $ 105.085 
6902;COMPRA; $ 78.000 
3563;COMPRA; $ 20.436 
8939;COMPRA; $ 200.000 
9558;COMPRA; $ 66.050 
5254;COMPRA; $ 197.000 
3617;AVANCE; $ 300.000 
4955;COMPRA; $ 49.452 
8145;AVANCE; $ 50.000 
6788;AVANCE; $ 500.000 
7830;COMPRA; $ 2.900 
3212;COMPRA; $ 10.000 
5680;AVANCE; $ 700.000 
6398;COMPRA; $ 305.680 
7355;AVANCE; $ 800.000 
8878;COMPRA; $ 140.857 
3147;AVANCE; $ 200.000 
6927;COMPRA; $ 335.600 
4858;COMPRA; $ 122.400 
5794;COMPRA; $ 50.000 
4823;AVANCE; $ 200.000 
7625;AVANCE; $ 800.000 
3699;COMPRA; $ 266.527 
7886;COMPRA; $ 750.421 
7991;COMPRA; $ 1.313.526 
6120;COMPRA; $ 10.500 
5530;AVANCE; $ 800.000 
3782;AVANCE; $ 20.000 
3467;AVANCE; $ 900.000 
5375;COMPRA; $ 130.891 
2993;AVANCE; $ 800.000 
4983;AVANCE; $ 350.000 
4220;COMPRA; $ 450.918 
8420;AVANCE; $ 400.000 
4553;AVANCE; $ 800.000 
2800;COMPRA; $ 60.000 
5709;COMPRA; $ 171.162 
4271;COMPRA; $ 28.900 
4832;AVANCE; $ 800.000 
2859;COMPRA; $ 287.200 
3292;COMPRA; $ 101.958 
9780;AVANCE; $ 800.000 
3523;AVANCE; $ 520.000 
8871;AVANCE; $ 400.000 
5834;COMPRA; $ 107.148 
6321;COMPRA; $ 137.000 
3958;COMPRA; $ 34.029 
4224;COMPRA; $ 365.618 
7781;AVANCE; $ 300.000 
9455;COMPRA; $ 310.631 
