Id_tx;clase;valor
6869;COMPRA;3495240
4355;COMPRA;475800
5416;COMPRA;115775
3249;COMPRA;1579898
2774;COMPRA;84077
3469;AVANCE;800000
8161;AVANCE;350000
4317;COMPRA;25000
7667;AVANCE;800000
9637;COMPRA;691
4966;COMPRA;50000
4581;COMPRA;1199250
5013;AVANCE;330000
4476;COMPRA;54301
4016;AVANCE;800000
9264;AVANCE;10000
7328;COMPRA;80350
8476;COMPRA;21260
3175;COMPRA;84290
5777;AVANCE;700000
6918;COMPRA;1023544
7905;COMPRA;1949900
6806;COMPRA;765411
9227;AVANCE;500000
6548;COMPRA;19540
2970;COMPRA;70700
7358;COMPRA;16100
4342;AVANCE;100000
4749;COMPRA;54200
3059;AVANCE;150000
4733;COMPRA;67177
5125;AVANCE;80000
6965;COMPRA;171800
4772;COMPRA;79890
9030;COMPRA;114800
9110;COMPRA;32900
8039;COMPRA;14900
5489;AVANCE;50000
6441;COMPRA;69900
4511;COMPRA;414000
6166;COMPRA;158850
8705;COMPRA;271200
7381;AVANCE;800000
8475;COMPRA;3081900
8137;COMPRA;8700
9709;COMPRA;57800
7213;COMPRA;118782
3946;AVANCE;300000
7385;COMPRA;2599900
3713;COMPRA;108979
6058;COMPRA;233904
9542;COMPRA;81058
6657;COMPRA;84995
8832;COMPRA;5600
7555;COMPRA;67950
9478;AVANCE;100000
9451;COMPRA;504218
5308;COMPRA;188854
9758;AVANCE;400000
5021;COMPRA;138300
5305;AVANCE;500000
2491;COMPRA;28757
5787;COMPRA;207469
3657;AVANCE;200000
3836;COMPRA;18800
6526;AVANCE;800000
6207;COMPRA;104663
7748;COMPRA;185590
9696;COMPRA;99000
7879;COMPRA;1049792
5938;COMPRA;366473
3832;AVANCE;110000
4766;COMPRA;31622
4148;COMPRA;325133
3512;COMPRA;127402
3579;COMPRA;153826
6862;AVANCE;20000
3403;COMPRA;39900
7118;COMPRA;229900
7024;COMPRA;517926
7920;COMPRA;400000
7871;COMPRA;99678
3096;COMPRA;70779
9007;AVANCE;150000
5603;AVANCE;150000
8802;AVANCE;41000
7061;AVANCE;300000
8667;COMPRA;125470
9628;COMPRA;640776
7658;AVANCE;600000
4957;AVANCE;150000
5434;COMPRA;30820
5756;AVANCE;497000
7065;COMPRA;1640000
8807;COMPRA;507170
7317;AVANCE;800000
9333;AVANCE;800000
8711;COMPRA;50000
9643;AVANCE;430000
5938;COMPRA;106194
6456;COMPRA;126060
2979;COMPRA;108670
4508;COMPRA;50000
7413;COMPRA;8500
4588;AVANCE;600000
5017;COMPRA;99218
3223;COMPRA;138403
9611;COMPRA;2149853
5247;AVANCE;400000
3693;AVANCE;300000
6736;COMPRA;108000
6956;COMPRA;1430947
4439;COMPRA;399306
8566;COMPRA;30000
3588;AVANCE;200000
4783;COMPRA;392820
5206;COMPRA;135240
5162;AVANCE;800000
5684;COMPRA;150449
6207;COMPRA;73000
9478;AVANCE;450000
3888;COMPRA;69900
8144;COMPRA;351135
4170;COMPRA;38275
3999;COMPRA;2135500
7026;COMPRA;16600
5543;COMPRA;20000
8182;COMPRA;565100
9321;COMPRA;189096
4685;COMPRA;29100
6484;COMPRA;451818
2749;COMPRA;30000
3365;COMPRA;34789
3002;AVANCE;800000
5814;AVANCE;800000
9729;AVANCE;800000
6609;COMPRA;6500
7382;COMPRA;151184
8870;COMPRA;175900
4513;AVANCE;300000
9685;COMPRA;2376299
4733;AVANCE;800000
4741;AVANCE;100000
7218;AVANCE;800000
7036;COMPRA;240000
7834;COMPRA;281928
6836;COMPRA;18550
4243;COMPRA;3028000
8603;COMPRA;163944
2755;COMPRA;1285194
6269;COMPRA;167309
4853;AVANCE;700000
3514;AVANCE;100000
5273;AVANCE;150000
8886;COMPRA;108011
3376;COMPRA;331967
3207;COMPRA;24900
6867;COMPRA;97810
8292;AVANCE;300000
5278;COMPRA;113935
6886;COMPRA;282506
9403;AVANCE;70000
3562;COMPRA;80000
7206;COMPRA;12423
9619;COMPRA;214638
8022;COMPRA;101015
4162;AVANCE;200000
7189;AVANCE;800000
3941;COMPRA;23400
7117;COMPRA;11900
6688;AVANCE;800000
5136;COMPRA;108940
9729;COMPRA;105085
6902;COMPRA;78000
3563;COMPRA;20436
8939;COMPRA;200000
9558;COMPRA;66050
5254;COMPRA;197000
3617;AVANCE;300000
4955;COMPRA;49452
8145;AVANCE;50000
6788;AVANCE;500000
7830;COMPRA;2900
3212;COMPRA;10000
5680;AVANCE;700000
6398;COMPRA;305680
7355;AVANCE;800000
8878;COMPRA;140857
3147;AVANCE;200000
6927;COMPRA;335600
4858;COMPRA;122400
5794;COMPRA;50000
4823;AVANCE;200000
7625;AVANCE;800000
3699;COMPRA;266527
7886;COMPRA;750421
7991;COMPRA;1313526
6120;COMPRA;10500
5530;AVANCE;800000
3782;AVANCE;20000
3467;AVANCE;900000
5375;COMPRA;130891
2993;AVANCE;800000
4983;AVANCE;350000
4220;COMPRA;450918
8420;AVANCE;400000
4553;AVANCE;800000
2800;COMPRA;60000
5709;COMPRA;171162
4271;COMPRA;28900
4832;AVANCE;800000
2859;COMPRA;287200
3292;COMPRA;101958
9780;AVANCE;800000
3523;AVANCE;520000
8871;AVANCE;400000
5834;COMPRA;107148
6321;COMPRA;137000
3958;COMPRA;34029
4224;COMPRA;365618
7781;AVANCE;300000
9455;COMPRA;310631
6316;COMPRA;70000
7454;COMPRA;561458
5669;COMPRA;483950
4712;AVANCE;600000
9465;COMPRA;297105
7592;COMPRA;20856
3891;AVANCE;800000
2789;COMPRA;57150
2648;COMPRA;80000
9746;AVANCE;350000
8831;COMPRA;167310
9453;COMPRA;8137
7983;COMPRA;1468057
8187;COMPRA;427522
9469;COMPRA;172642
9400;COMPRA;40000
4430;COMPRA;1248132
9642;COMPRA;1420000
6129;AVANCE;300000
6059;COMPRA;6100
3405;AVANCE;170000
3045;COMPRA;36470
7281;COMPRA;39502
3205;COMPRA;120000
3551;AVANCE;600000
4415;AVANCE;800000
4509;COMPRA;111750
3348;AVANCE;800000
9777;COMPRA;76000
2895;COMPRA;125825
8342;COMPRA;186150
3123;COMPRA;1446596
6668;COMPRA;14900
3588;COMPRA;91050
4953;COMPRA;1979000
4470;COMPRA;26900
4971;COMPRA;77990
5841;COMPRA;97550
4603;COMPRA;154240
8456;AVANCE;128000
4306;COMPRA;18820
7592;COMPRA;507000
3651;COMPRA;600323
7885;COMPRA;16900
4792;COMPRA;69913
7719;COMPRA;254119
7093;COMPRA;176194
8597;COMPRA;27590
3749;COMPRA;146785
5562;COMPRA;50000
4179;COMPRA;94900
8239;COMPRA;16300
2667;COMPRA;38900
4650;COMPRA;259000
4208;AVANCE;450000
9787;COMPRA;104753
3238;COMPRA;54950
3572;AVANCE;220000
8233;COMPRA;168730
6890;COMPRA;30450
7714;AVANCE;100000
6126;COMPRA;127240
3148;AVANCE;100000
7672;COMPRA;28025
2850;COMPRA;305355
3549;AVANCE;150000
6214;COMPRA;110000
3922;COMPRA;65552
9858;COMPRA;554070
6871;COMPRA;1727700
4411;COMPRA;27540
3758;AVANCE;800000
4329;COMPRA;778000
2739;COMPRA;277000
9474;COMPRA;134700
5839;COMPRA;325131
7113;COMPRA;51043
2534;AVANCE;600000
5827;COMPRA;17150
4713;COMPRA;141418
5093;COMPRA;1231000
7909;AVANCE;500000
6110;COMPRA;428830
2523;COMPRA;128919
2544;COMPRA;715075
3106;COMPRA;73584
3449;COMPRA;56520
4213;COMPRA;301319
4780;AVANCE;600000
3279;COMPRA;15100
2793;COMPRA;1050870
3823;COMPRA;59782
7521;COMPRA;190500
3348;AVANCE;300000
